杉林 昇,すぎばやし のぼる,男,1950.08.31,アナウンサー/ＮＨＫ,石川県
小池 裕美子,こいけ ゆみこ,女,1950.09.02,アナウンサー/日本テレビ,和歌山県
馬場 鉄志,ばば てつし,男,1950.09.27,アナウンサー/関西テレビ,東京都
内藤 やす子,ないとう やすこ,女,1950.09.28,歌手,神奈川県
伊藤 多喜雄,いとう たきお,男,1950.10.06,歌手,北海道
宮本 隆治,みやもと りゅうじ,男,1950.10.08,アナウンサー/ＮＨＫ,福岡県
清水 國明,しみず くにあき,男,1950.10.15,タレント,福井県
緒方 喜治,おがた よしはる,男,1950.11.01,アナウンサー/ＮＨＫ,広島県
西口 久美子,にしぐち くみこ,女,1950.11.01,歌手,東京都
梅沢 富美男,うめざわ とみお,男,1950.11.09,俳優 歌手,福島県
仲 雅美,なか まさみ,男,1950.11.09,歌手 俳優,神奈川県
田中 秀幸,たなか ひでゆき,男,1950.11.12,声優,東京都
浅見 博幸,あさみ ひろゆき,男,1950.11.19,アナウンサー/仙台放送,東京都
佐々木 美絵,ささき みえ,女,1950.12.05,アナウンサー/毎日放送（MBS）→フリー,京都府
我修院 達也,がしゅういん たつや,男,1950.12.10,タレント,東京都
前川 陽子,まえかわ ようこ,女,1950.12.18,歌手,佐賀県
本郷 直樹,ほんごう なおき,男,1950.12.20,歌手,福井県
生島 ヒロシ,いくしま ひろし,男,1950.12.24,アナウンサー/ＴＢＳ→フリー,宮城県
小林 一枝,こばやし かずえ,女,1951.01.01,アナウンサー/テレビ朝日,東京都
周山 制洋,すやま のりひろ,男,1951.01.04,アナウンサー/ＮＨＫ,山口県
佐塚 元章,さづか もとあき,男,1951.01.14,アナウンサー/ＮＨＫ,静岡県
中村 克洋,なかむら かつひろ,男,1951.01.18,アナウンサー/ＮＨＫ→フリー,山口県
吉田 照美,よしだ てるみ,男,1951.01.23,アナウンサー/文化放送→フリー,東京都
五輪 真弓,いつわ まゆみ,女,1951.01.24,歌手,東京都
中村 雅俊,なかむら まさとし,男,1951.02.01,俳優 歌手,宮城県
中尾 隆聖,なかお りゅうせい,男,1951.02.05,声優,東京都
岩尾 保次,いわお やすじ,男,1951.02.08,アナウンサー/テレビ大分,大分県
島田 洋八,しまだ ようはち,男,1951.02.13,漫才師 タレント,岡山県
山本 リンダ,やまもと りんだ,女,1951.03.04,歌手 タレント,福岡県
芹 洋子,せり ようこ,女,1951.03.10,歌手,大阪府
松崎 悦子,まつざき えつこ,女,1951.03.11,歌手,愛知県
中川 充四郎,なかがわ じゅうしろう,男,1951.03.25,アナウンサー/フリー,埼玉県
国広 正夫,くにひろ まさお,男,1951.03.26,アナウンサー/ラジオ関西,山口県
窪田 等,くぼた ひとし,男,1951.03.27,声優 ナレーター,山梨県
三条 アンナ,さんじょう あんな,女,1951.04.05,歌手,青森県
松永 二三男,まつなが ふみお,男,1951.04.18,アナウンサー/日本テレビ,新潟県
那須 恵理子,なす えりこ,女,1951.04.23,アナウンサー/ニッポン放送,東京都
水島 びん,みずしま びん,男,1951.04.30,タレント,愛媛県
麻田 マモル,あさだ まもる,男,1951.05.02,歌手,千葉県
峰 あつ子,みね あつこ,女,1951.05.02,声優,東京都
モト冬樹,もと ふゆき,男,1951.05.05,ミュージシャン タレント,東京都
小林 のり一,こばやし のりかず,男,1951.05.09,タレント,東京都
テント,てんと,男,1951.05.16,タレント,大阪府
カルメン・マキ,かるめん まき,女,1951.05.18,歌手,神奈川県
成世 昌平,なるせ しょうへい,男,1951.06.10,歌手,広島県
山岡 未樹,やまおか みき,女,1951.06.15,歌手,北海道
発地 伸夫,ほつち のぶお,男,1951.06.18,歌手,東京都
歌川 二三子,うたがわ ふみこ,女,1951.06.20,歌手,新潟県
丸山 繁雄,まるやま しげお,男,1951.06.22,歌手,新潟県
田中 昌之,たなか まさゆき,男,1951.06.30,歌手,佐賀県
石渡 のり子,いしわたり のりこ,女,1951.07.02,アナウンサー/フリー,愛知県
後藤 繁榮,ごとう しげよし,男,1951.07.03,アナウンサー/ＮＨＫ,岐阜県
伊東 正治,いとう まさはる,男,1951.07.05,アナウンサー/毎日放送（MBS）,東京都
太田 元治,おおた もとはる,男,1951.07.05,アナウンサー/朝日放送（ABC）,東京都
葛西 聖司,かさい せいじ,男,1951.07.05,アナウンサー/ＮＨＫ,東京都
藤 圭子,ふじ けいこ,女,1951.07.05,歌手,岩手県
南部 虎弾,なんぶ とらた,男,1951.07.14,タレント,山形県
末田 正雄,すえだ まさお,男,1951.07.18,アナウンサー/ＮＨＫ,広島県
桜井 洋子,さくらい ようこ,女,1951.08.09,アナウンサー/ＮＨＫ,新潟県
青山 孝史,あおやま たかし,男,1951.08.10,歌手,佐賀県
田中 和実,たなか かずみ,男,1951.08.11,声優,東京都
桜井 宏,さくらい ひろし,男,1951.08.20,アナウンサー/北海道放送,新潟県
西野 義和,にしの よしかず,男,1951.09.06,アナウンサー/朝日放送（ABC）,新潟県
水沢 有美,みずさわ ゆみ,女,1951.09.08,女優 歌手,東京都
佳山 明生,かやま あきお,男,1951.09.19,歌手,北海道
植田 美千代,うえだ みちよ,女,1951.09.21,アナウンサー/南日本放送,大分県
神田 康秋,かんだ やすあき,男,1951.09.24,アナウンサー/テレビ新広島,広島県
中村 こずえ,なかむら こずえ,女,1951.10.01,アナウンサー/フリー,東京都
原田 伸郎,はらだ のぶろう,男,1951.10.01,タレント,京都府
樋口 淳一,ひぐち じゅんいち,男,1951.10.03,アナウンサー/ＮＨＫ,東京都
川端 義明,かわばた よしあき,男,1951.10.07,アナウンサー/ＮＨＫ,京都府
阿川 泰子,あがわ やすこ,女,1951.10.16,歌手,神奈川県
山田 美也子,やまだ みやこ,女,1951.10.16,タレント,大阪府
高山 巌,たかやま げん,男,1951.10.19,歌手,大阪府
馬場 憲治,ばば けんじ,男,1951.10.20,タレント,神奈川県
山田 透,やまだ とおる,男,1951.10.20,アナウンサー/ラジオ関西→ニッポン放送→フリー,秋田県
福沢 良一,ふくざわ りょういち,男,1951.10.31,歌手 俳優,京都府
今 陽子,こん ようこ,女,1951.11.01,歌手,愛知県
天地 真理,あまち まり,女,1951.11.05,歌手 タレント,埼玉県
稲葉 実,いなば みのる,男,1951.11.08,声優,静岡県
竹内 ゆり子,たけうち ゆりこ,女,1951.11.11,歌手,東京都
青山 桂子,あおやま けいこ,女,1951.11.18,歌手,愛知県
石田 ゆり,いしだ ゆり,女,1951.11.23,歌手,大阪府
青山 一也,あおやま かずや,男,1951.11.28,歌手,東京都
陣内 誠,じんない まこと,男,1951.11.30,アナウンサー/フジテレビ,神奈川県
松尾 銀三,まつお ぎんぞう,男,1951.12.26,声優,大分県
佐藤 充宏,さとう みつひろ,男,1951.12.31,アナウンサー/ＮＨＫ→フリー,神奈川県
香川 けんじ,かがわ けんじ,男,1952.01.02,タレント,香川県
京子スペクター,きょうこ すぺくたー,女,1952.01.02,タレント,千葉県
青木 裕史,あおき ひろし,男,1952.01.10,歌手,静岡県
楠田 枝里子,くすだ えりこ,女,1952.01.12,アナウンサー/日本テレビ→タレント,三重県
大和田 りつこ,おおわだ りつこ,女,1952.01.17,歌手,神奈川県
上野 晃,うえの あきら,男,1952.02.06,アナウンサー/フリー,石川県
キャシー 中島,きゃしー なかじま,女,1952.02.06,タレント,アメリカ
高橋 佳代子,たかはし かよこ,女,1952.02.07,アナウンサー/テレビ岩手→フリー,岩手県
郷里 大輔,ごうり だいすけ,男,1952.02.08,声優,東京都
岸 龍也,きし たつや,男,1952.02.10,歌手,群馬県
西村 知江子,にしむら ちえこ,女,1952.02.10,アナウンサー/ニッポン放送→フリー,神奈川県
横尾 まり,よこお まり,女,1952.02.21,声優,東京都
徳田 章,とくだ あきら,男,1952.02.24,アナウンサー/ＮＨＫ,神奈川県
グッチ裕三,ぐっち ゆうぞう,男,1952.02.27,タレント,東京都
くり さなえ,くり さなえ,女,1952.03.01,歌手,長野県
峰 竜太,みね りゅうた,男,1952.03.01,タレント,長野県
四角 佳子,よすみ けいこ,女,1952.03.04,歌手,大阪府
結城 哲郎,ゆうき てつろう,男,1952.03.22,アナウンサー/毎日放送（MBS）,東京都
岩本 恭生,いわもと きょうせい,男,1952.04.03,タレント,北海道
野瀬 正夫,のせ まさお,男,1952.04.03,アナウンサー/ＮＨＫ,東京都
しばた はつみ,しばた はつみ,女,1952.04.11,歌手,東京都
兵藤 ゆき,ひょうどう ゆき,女,1952.04.15,タレント,愛知県
なぎら健壱,なぎら けんいち,男,1952.04.16,タレント,東京都
大橋 純子,おおはし じゅんこ,女,1952.04.26,歌手,北海道
松田 重治,まつだ しげはる,男,1952.05.07,声優,広島県
大友 龍三郎,おおとも りゅうざぶろう,男,1952.05.18,声優,東京都
葛城 ユキ,かつらぎ ゆき,女,1952.05.25,歌手,岡山県
ケント・ギルバート,けんと ぎるばーと,男,1952.05.25,タレント,アメリカ
荻島 正己,おぎしま まさみ,男,1952.05.26,アナウンサー/静岡放送→フリー,東京都
江木 俊夫,えぎ としお,男,1952.06.04,歌手,東京都
ウガンダ・トラ,うがんだ とら,男,1952.06.06,タレント,東京都
小俣 雅子,おまた まさこ,女,1952.06.19,アナウンサー/文化放送→フリー,山梨県
叶 正子,かのう まさこ,女,1952.06.23,歌手,熊本県
山田 邦博,やまだ くにひろ,男,1952.06.30,アナウンサー/熊本放送,長崎県
小柳 ルミ子,こやなぎ るみこ,女,1952.07.02,歌手,福岡県
すがぬま伸,すがぬま しん,男,1952.07.05,タレント,神奈川県
麻上 洋子,あさがみ ようこ,女,1952.07.10,声優,神奈川県
大杉 久美子,おおすぎ くみこ,女,1952.07.10,歌手,東京都
小宮 和枝,こみや かずえ,女,1952.07.12,声優,東京都
三宅 民夫,みやけ たみお,男,1952.07.13,アナウンサー/ＮＨＫ,愛知県
鈴木 聖美,すずき きよみ,女,1952.07.20,歌手,東京都
小山 ルミ,こやま るみ,女,1952.08.11,タレント,北海道
渥美 二郎,あつみ じろう,男,1952.08.15,歌手,東京都
石澤 典夫,いしざわ のりお,男,1952.08.16,アナウンサー/ＮＨＫ,神奈川県
富田 伊知郎,とみた いちろう,男,1952.08.24,歌手,千葉県
菅野 詩朗,すがの しろう,男,1952.09.01,アナウンサー/文化放送,北海道
清水 クーコ,しみず くーこ,女,1952.09.10,タレント,東京都
後川 清,うしろかわ きよし,男,1952.09.11,タレント,茨城県
堀 之紀,ほり ゆきとし,男,1952.09.12,声優,東京都
和田 圭,わだ けい,男,1952.09.13,アナウンサー/フリー,東京都
惣領 智子,そうりょう ともこ,女,1952.09.17,歌手,東京都
高村 ルナ,たかむら るな,女,1952.09.18,歌手,兵庫県
白井 京子,しらい きょうこ,女,1952.09.28,アナウンサー/フリー,広島県
濱中 博久,はまなか ひろひさ,男,1952.09.30,アナウンサー/ＮＨＫ,京都府
大庭 荘介,おおば そうすけ,男,1952.10.06,アナウンサー/テレビ静岡→フリー,静岡県
宮澤 隆,みやざわ たかし,男,1952.10.08,アナウンサー/ＴＢＳ,東京都
清水 健太郎,しみず けんたろう,男,1952.10.11,歌手 俳優,福岡県
峰下 和子,みねした かずこ,女,1952.10.14,アナウンサー/テレビ長崎→長崎国際テレビ→フリー,佐賀県
渡辺 恭子,わたなべ きょうこ,女,1952.10.14,アナウンサー/フリー,東京都
山下 信,やました まこと,男,1952.10.15,アナウンサー/ＮＨＫ,愛媛県
南 一誠,みなみ かずまさ,男,1952.10.19,歌手,広島県
野路 由紀子,のじ ゆきこ,女,1952.10.20,歌手,福井県
坂口 哲夫,さかぐち てつお,男,1952.10.24,声優,大阪府
九十九 一,つくも はじめ,男,1952.11.01,タレント,大阪府
堺 正幸,さかい まさゆき,男,1952.11.08,アナウンサー/フジテレビ,神奈川県
吉 幾三,よし いくぞう,男,1952.11.11,歌手,青森県
すわ親治,すわ しんじ,男,1952.11.14,タレント,鹿児島県
植田 ひとみ,うえだ ひとみ,女,1952.11.15,歌手,愛知県
玉井 タエ,たまい たえ,女,1952.11.26,歌手,大阪府
吉住 秀和,よしずみ ひでかず,男,1952.12.12,アナウンサー/札幌テレビ放送,東京都
久野 誠,くの まこと,男,1952.12.19,アナウンサー/中部日本放送（CBC）,三重県
前田 竹千代,まえだ たけちよ,男,1952.12.23,タレント,大分県
勝津 正男,かつ まさお,男,1952.12.26,アナウンサー/山口放送,山口県
石川 セリ,いしかわ せり,女,1952.12.27,歌手,神奈川県
津島 隆文,つしま たかふみ,男,1953.01.09,歌手,神奈川県
橋本 晃一,はしもと こういち,男,1953.01.12,声優,千葉県
松 みのる,まつ みのる,男,1953.01.14,タレント,兵庫県
濱田 金吾,はまだ きんご,男,1953.01.17,歌手 作曲家,東京都
北川 ユミ,きたがわ ゆみ,女,1953.01.21,歌手,大阪府
新見 宏司,しんみ ひろし,男,1953.01.23,アナウンサー/テレビ信州,島根県
テレサ・テン,てれさ てん,女,1953.01.29,歌手,台湾
安藤 勲,あんどう いさお,男,1953.02.04,アナウンサー/山形放送,山形県
たいら いさお,たいら いさお,男,1953.02.11,歌手,長崎県
海老名 美どり,えびな みどり,女,1953.02.14,タレント,東京都
松下 賢次,まつした けんじ,男,1953.03.02,アナウンサー/ＴＢＳ,東京都
小橋 玲子,こばし れいこ,女,1953.03.03,タレント,大阪府
玉城 美智子,たまき みちこ,女,1953.03.13,アナウンサー/琉球放送→フリー,沖縄県
ケイ・アンナ,けい あんな,女,1953.03.15,タレント,東京都
チャカ・カーン,ちゃか かーん,女,1953.03.23,歌手,アメリカ
潘 恵子,はん けいこ,女,1953.04.05,声優,東京都
Ｍｒ.オクレ,みすたー おくれ,男,1953.04.30,タレント,兵庫県
江原 正士,えばら まさし,男,1953.05.04,声優,神奈川県
飯野 知彦,いいの ともひこ,男,1953.05.06,歌手,群馬県
羽川 英樹,はがわ ひでき,男,1953.05.24,アナウンサー/読売テレビ→フリー,京都府
工藤 三郎,くどう さぶろう,男,1953.06.01,アナウンサー/ＮＨＫ,大分県
シンディ・ローパー,しんでぃ ろーぱー,女,1953.06.22,歌手,アメリカ
村上 信夫,むらかみ のぶお,男,1953.06.30,アナウンサー/ＮＨＫ,京都府
おりも 政夫,おりも まさお,男,1953.07.04,歌手,東京都
研 ナオコ,けん なおこ,女,1953.07.07,歌手 タレント,静岡県
安田 栗之助,やすだ くりのすけ,男,1953.07.09,タレント,山口県
川崎 龍介,かわさき りゅうすけ,男,1953.07.16,歌手 俳優,熊本県
鈴木 順,すずき じゅん,男,1953.07.17,アナウンサー/ＴＢＳ,東京都
久保 正彰,くぼ まさあき,男,1953.07.20,アナウンサー/信越放送,長野県
八田 有加,はった ゆか,女,1953.07.21,タレント,東京都
大滝 進矢,おおたき しんや,男,1953.07.29,声優,神奈川県
古谷 徹,ふるや とおる,男,1953.07.31,声優,神奈川県
高井 一,たかい はじめ,男,1953.08.02,アナウンサー/東海テレビ,京都府
岩田 雅人,いわた まさと,男,1953.08.04,アナウンサー/福島テレビ,神奈川県
石塚 真人,いしづか まさと,男,1953.08.07,アナウンサー/秋田テレビ,秋田県
桑名 正博,くわな まさひろ,男,1953.08.07,歌手,大阪府
関根 勤,せきね つとむ,男,1953.08.21,タレント,東京都
栗村 智,くりむら さとる,男,1953.08.23,アナウンサー/ニッポン放送,広島県
川島 宏治,かわしま こうじ,男,1953.08.25,アナウンサー/中国放送,広島県
川上 泰生,かわかみ やすお,男,1953.08.30,タレント,大分県
樋浦 一帆,ひうら いっぽ,男,1953.09.05,歌手,東京都
福井 謙二,ふくい けんじ,男,1953.09.08,アナウンサー/フジテレビ,広島県
岩崎 和夫,いわさき かずお,男,1953.10.02,アナウンサー/ラジオ関西→フリー,東京都
浅沼 道郎,あさぬま みちお,男,1953.10.04,アナウンサー/名古屋テレビ（メ～テレ）,愛知県
竹内 えり子,たけうち えりこ,女,1953.10.13,歌手,東京都
竹村 拓,たけむら たく,男,1953.10.24,声優,東京都
荒井 由岐子,あらい ゆきこ,女,1953.10.26,アナウンサー/山陰放送,鳥取県
石丸 謙二郎,いしまる けんじろう,男,1953.11.01,声優,大分県
小林 麻美,こばやし あさみ,女,1953.11.29,歌手,東京都
竹内 まり子,たけうち まりこ,女,1953.12.02,歌手,東京都
小林 幸子,こばやし さちこ,女,1953.12.05,歌手,新潟県
山下 雄三,やました ゆうぞう,男,1953.12.06,歌手,東京都
松宮 一彦,まつみや かずひこ,男,1953.12.11,アナウンサー/ＴＢＳ→フリー,東京都
麻田 奈美,あさだ なみ,女,1953.12.15,タレント,東京都
安西 マリア,あんざい まりあ,女,1953.12.16,歌手,東京都
牧村 三枝子,まきむら みえこ,女,1953.12.21,歌手,北海道
角川 博,かどかわ ひろし,男,1953.12.25,歌手,広島県
ぶるうたす,ぶるうたす,男,1954.01.01,タレント,東京都
三木 ひろし,みき ひろし,男,1954.01.08,タレント,岩手県
有澤 圭子,ありさわ けいこ,女,1954.01.12,歌手,神奈川県
立原 啓裕,たちはら けいすけ,男,1954.01.12,タレント,大阪府
ルー大柴,るー おおしば,男,1954.01.14,タレント,東京都
及川 のび太,おいかわ のびた,男,1954.01.21,タレント, 
さくら,さくら,女,1954.01.22,歌手,福島県
大野 えり,おおの えり,女,1954.01.23,歌手,愛知県
塩沢 兼人,しおざわ かねと,男,1954.01.28,声優,東京都
中原 秀一郎,なかはら ひでいちろう,男,1954.01.28,アナウンサー/朝日放送（ABC）,大阪府
千葉 繁,ちば しげる,男,1954.02.04,声優,熊本県
杉村 尚美,すぎむら なおみ,女,1954.02.05,歌手,東京都
嶺 陽子,みね ようこ,女,1954.02.15,歌手,沖縄県
深山 計,みやま はかる,男,1954.02.18,アナウンサー/中国放送→ニッポン放送→フリー,兵庫県
浅川 初美,あさかわ はつみ,女,1954.03.02,アナウンサー/山梨放送,山梨県
杉本 るみ,すぎもと るみ,女,1954.03.10,声優 ナレーター,滋賀県
因幡 晃,いなば あきら,男,1954.03.18,歌手,秋田県
堀 秀行,ほり ひでゆき,男,1954.03.23,声優,静岡県
井上 和彦,いのうえ かずひこ,男,1954.03.26,声優,神奈川県
パンチみつお,ぱんち みつお,男,1954.03.27,タレント,福岡県
片桐 圭一,かたぎり けいいち,男,1954.04.03,歌手,東京都
福士 秀樹,ふくし ひでき,男,1954.04.12,声優,静岡県
三雲 孝江,みくも たかえ,女,1954.04.12,アナウンサー/ＴＢＳ→フリー,神奈川県
渡辺 雅彦,わたなべ まさひこ,男,1954.04.23,アナウンサー/テレビ静岡,東京都
デーブ・スペクター,でーぶ すぺくたー,男,1954.05.05,タレント,アメリカ
吉川 美代子,よしかわ みよこ,女,1954.05.08,アナウンサー/ＴＢＳ,神奈川県
古謝 美佐子,こじゃ みさこ,女,1954.05.11,歌手,沖縄県
大塚 芳忠,おおつか よしただ,男,1954.05.19,声優,岡山県
柿沼 郭,かきぬま かく,男,1954.06.01,アナウンサー/ＮＨＫ,東京都
今井 伊佐男,いまい いさお,男,1954.06.05,アナウンサー/日本テレビ,神奈川県
久村 栄子,ひさむら えいこ,女,1954.06.13,声優,東京都
藍 美代子,あい みよこ,女,1954.06.20,歌手,宮城県
清水 アキラ,しみず あきら,男,1954.06.29,タレント,長野県
南 沙織,みなみ さおり,女,1954.07.02,歌手,鹿児島県
中村 秀利,なかむら ひでとし,男,1954.07.12,声優,東京都
佐々木 正洋,ささき まさひろ,男,1954.07.17,アナウンサー/テレビ朝日,福岡県
叶 高,かのう たかし,男,1954.07.24,歌手,熊本県
酒井 ゆきえ,さかい ゆきえ,女,1954.07.24,タレント,東京都
若生 哲旺,わこう てつお,男,1954.08.16,アナウンサー/東北放送,宮城県
内藤 啓史,ないとう けいし,男,1954.08.18,アナウンサー/ＮＨＫ,岡山県
轟 二郎,とどろき じろう,男,1954.08.19,タレント,静岡県
三善 英史,みよし えいじ,男,1954.09.02,歌手,東京都
蘇武 直人,そぶ なおと,男,1954.09.05,アナウンサー/フリー,宮城県
篠塚 満由美,しのづか まゆみ,女,1954.09.12,歌手 タレント,千葉県
すどう かづみ,すどう かずみ,女,1954.09.21,タレント,東京都
黒岩 祐治,くろいわ ゆうじ,男,1954.09.26,アナウンサー/フリー,兵庫県
上原 康樹,うえはら やすき,男,1954.09.28,アナウンサー/ＮＨＫ,長野県
田中 正彦,たなか まさひこ,男,1954.10.01,声優,大阪府
プリティ長嶋,ぷりてぃ ながしま,男,1954.10.02,タレント,千葉県
原 大輔,はら だいすけ,男,1954.10.05,歌手,千葉県
荻原 弘子,おぎわら ひろこ,女,1954.10.13,アナウンサー/日本テレビ,埼玉県
三ツ矢 雄二,みつや ゆうじ,男,1954.10.18,声優,愛知県
おぼ たけし,おぼ たけし,男,1954.10.22,俳優 歌手,福岡県
金沢 明子,かなざわ あきこ,女,1954.10.25,歌手,千葉県
岡本 茉莉,おかもと まり,女,1954.10.31,声優,東京都
細野 俊晴,ほその としはる,男,1954.11.02,アナウンサー/山梨放送→静岡第一テレビ,北海道
増田 一樹,ますだ かずき,男,1954.11.03,アナウンサー/毎日放送（MBS）,兵庫県
和沙 哲郎,わさ てつろう,男,1954.11.16,アナウンサー/朝日放送（ABC）,島根県
島田 敏,しまだ びん,男,1954.11.20,声優,新潟県
安西 正弘,あんざい まさひろ,男,1954.11.26,声優,東京都
楠木 勇有行,くすのき ゆうこう,男,1954.12.02,歌手,東京都
水沢 アキ,みずさわ あき,女,1954.12.05,タレント,東京都
福澤 浩行,ふくざわ ひろゆき,男,1954.12.06,アナウンサー/ＮＨＫ,長野県
古舘 伊知郎,ふるたち いちろう,男,1954.12.07,アナウンサー/テレビ朝日→フリー,東京都
島本 須美,しまもと すみ,女,1954.12.08,声優,高知県
向殿 あさみ,むかいどの あさみ,女,1954.12.09,声優,東京都
毛利 八郎,もうり はちろう,男,1954.12.18,アナウンサー/関西テレビ,東京都
渡辺 宜嗣,わたなべ のりつぐ,男,1954.12.19,アナウンサー/テレビ朝日,愛知県
庄野 真代,しょうの まよ,女,1954.12.23,歌手,大阪府
原田 悠里,はらだ ゆり,女,1954.12.23,歌手,熊本県
山田 幸子,やまだ ゆきこ,女,1954.12.30,アナウンサー/テレビ愛媛,愛媛県
小城 敏,こしろ さとし,男,1955.01.05,アナウンサー/読売テレビ,京都府
帯 淳子,おび じゅんこ,女,1955.01.06,タレント,東京都
宮嶋 泰子,みやじま やすこ,女,1955.01.09,アナウンサー/テレビ朝日→ディレクター,富山県
伊藤 蘭,いとう らん,女,1955.01.13,歌手 女優,東京都
平光 琢也,ひらみつ たくや,男,1955.01.13,タレント,岐阜県
田中 真弓,たなか まゆみ,女,1955.01.15,声優,東京都
小山 茉美,こやま まみ,女,1955.01.17,声優,愛知県
太田 裕美,おおた ひろみ,女,1955.01.20,歌手,埼玉県
所 ジョージ,ところ じょーじ,男,1955.01.26,タレント,埼玉県
山田 敦子,やまだ あつこ,女,1955.02.02,アナウンサー/ＮＨＫ,東京都
宮内 タカユキ,みやうち たかゆき,男,1955.02.04,歌手,茨城県
鳩山 エミリ,はとやま えみり,女,1955.02.11,タレント,東京都
益田 由美,ますだ ゆみ,女,1955.02.11,アナウンサー/フジテレビ,東京都
伊丹 幸雄,いたみ さちお,男,1955.02.12,歌手,福井県
酒井 弘明,さかい ひろあき,男,1955.02.15,アナウンサー/東海ラジオ,北海道
吉澤 一彦,よしざわ かずひこ,男,1955.02.17,アナウンサー/テレビ朝日,北海道
小原 初美,おばら はつみ,女,1955.02.21,歌手,東京都
竹内 靖夫,たけうち やすお,男,1955.02.25,アナウンサー/文化放送,新潟県
伊藤 博英,いとう ひろひで,男,1955.02.27,アナウンサー/ＮＨＫ,岩手県
城ヶ崎 祐子,じょうがさき ゆうこ,女,1955.02.28,アナウンサー/フジテレビ→フリー,秋田県
高島 雅羅,たかしま がら,女,1955.03.02,声優,東京都
ケント・デリカット,けんと でりかっと,男,1955.03.03,タレント,アメリカ
白倉 ヒサオ,しらくら ひさお,男,1955.03.03,歌手,福岡県
二又 一成,ふたまた かずなり,男,1955.03.15,声優,青森県
愛田 悦子,あいだ えつこ,女,1955.03.18,歌手,愛媛県
島崎 俊郎,しまざき としろう,男,1955.03.18,タレント,高知県
塚越 孝,つかごし たかし,男,1955.03.20,アナウンサー/ニッポン放送→フジテレビ,神奈川県
久保 俊郎,くぼ としろう,男,1955.03.27,アナウンサー/福岡放送,大分県
茜谷 幸子,あかねや さちこ,女,1955.04.09,アナウンサー/秋田放送,秋田県
伊藤 周子,いとう しゅうこ,女,1955.04.09,アナウンサー/テレビ高知,大阪府
上沼 恵美子,かみぬま えみこ,女,1955.04.13,タレント,兵庫県
西城 秀樹,さいじょう ひでき,男,1955.04.13,歌手,広島県
平野 文,ひらの ふみ,女,1955.04.23,声優,東京都
